X,Y,FID,Ubicacion,Fallecidos,Graves,MenosGrave,Leve,Accidentes
-70.5920330079633,-33.5828469188991,1355,"JUAN DE DIOS MALEBRAN & MIGUEL ANGEL, PUENTE ALTO",0,1,0,0,1
-70.5906403208812,-33.5104124497755,1356,"AMERICO VESPUCIO & DEPARTAMENTAL, LA FLORIDA",0,0,0,1,1
-70.59034496817,-33.507214756081,1357,"MACUL & AMERICO VESPUCIO, MACUL",0,1,0,1,2
-70.5909798241766,-33.5612709303206,1358,"405 MARIA ELENA, LA FLORIDA",0,0,0,1,1
-70.5918227941948,-33.6101114945196,1359,"PEDRO DUARTE & EJERCITO LIBERTADOR, PUENTE ALTO",0,1,0,0,1
-70.5897981417962,-33.4996824939742,1360,"DOCTOR AMADOR NEGHME RODRIGUEZ & CALLE 1, MACUL",0,0,0,1,1
-70.5898852554962,-33.510331961821,1361,"DEPARTAMENTAL & AMERICO VESPUCIO, PENALOLEN",0,1,0,0,1
-70.5882620615354,-33.4255353910372,1362,"CRISTOBAL COLON & MARCO POLO, LAS CONDES",0,0,0,2,2
-70.587590712832,-33.4075612967228,1363,"720 AMERICO VESPUCIO NORTE, LAS CONDES",0,1,0,0,1
-70.591328427728,-33.6131208943194,1364,"EJERCITO LIBERTADOR & VIRGINIO WOLF, PUENTE ALTO",0,0,0,1,1
-70.588420656914,-33.4554833562883,1365,"AUGUSTO VILLANUEVA & IRARRAZAVAL, NUNOA",0,0,1,0,1
-70.5871517104671,-33.3911082898967,1366,"ESCRIBANO DIEGO RUTAL & CANDELARIA GOYENECHEA, VITACURA",0,1,0,0,1
-70.5907598315373,-33.5927291671371,1367,"JUAN DE DIOS MALEBRAN & LA PRIMAVERA, PUENTE ALTO",0,0,0,1,1
-70.5908774862215,-33.6143892341251,1368,"EYZAGUIRRE & EJERCITO LIBERTADOR, PUENTE ALTO",0,0,0,1,1
-70.5872525888623,-33.4179367909684,1369,"BURGOS & RENATO SANCHEZ, LAS CONDES",0,0,0,1,1
-70.5905794055384,-33.6046174092136,1370,"DOMINGO TOCORNAL & GENERAL JUAN MACKENNA, PUENTE ALTO",0,0,2,0,2
-70.5868348052339,-33.4038373445453,1371,"AMERICO VESPUCIO & PRESIDENTE KENNEDY, VITACURA",0,1,0,2,2
-70.5888394774695,-33.5155489226488,1372,"SERAFIN ZAMORA & EL PARQUE, LA FLORIDA",0,0,0,1,1
-70.5882910009902,-33.5102802701001,1373,"DEPARTAMENTAL & LA FLORIDA, LA FLORIDA",0,2,0,0,2
-70.586656595776,-33.4301012095476,1374,"TOBALABA & POCURO, PROVIDENCIA",0,0,0,1,1
-70.5862765554014,-33.4103918539624,1375,"PRESIDENTE RIESCO & AMERICO VESPUCIO NORTE, LAS CONDES",0,1,0,2,3
-70.586131044512,-33.4041619895929,1376,"PRESIDENTE KENNEDY & AMERICO VESPUCIO NORTE, LAS CONDES",0,0,0,2,2
-70.5860236757131,-33.4053537937062,1377,"985 AMERICO VESPUCIO NORTE, LAS CONDES",0,0,0,2,1
-70.5880119882133,-33.5156316819468,1378,"EL PARQUE & REAL PONTEVEDRA, LA FLORIDA",0,0,0,1,1
-70.5898858248179,-33.6284702554447,1379,"LAS ACHIRAS & EJERCITO LIBERTADOR, PUENTE ALTO",0,0,0,1,1
-70.5894815128935,-33.6316949189283,1380,"CAMINO INTERNACIONAL & EJERCITO LIBERTADOR, PUENTE ALTO",0,0,0,2,1
-70.5878453358931,-33.547152587115,1381,"VICUNA MACKENNA & TRINIDAD, LA FLORIDA",1,0,0,3,4
-70.58495025783,-33.3947979164974,1382,"ARQUITECTO TEODORO BENDJERODT & ESPOZ, VITACURA",0,0,0,1,1
-70.5847525351532,-33.4135136681546,1383,"AMERICO VESPUCIO NORTE & LOS MILITARES, LAS CONDES",1,0,0,0,1
-70.5846895614334,-33.4141908534327,1384,"AMERICO VESPUCIO & APOQUINDO, LAS CONDES",0,0,0,4,4
-70.5847726867199,-33.4317846834809,1385,"FRANCISCO BILBAO & TOBALABA, PROVIDENCIA",0,0,0,1,1
-70.5867310724068,-33.5533623933332,1386,"VICUNA MACKENNA & SAN JOSE DE LA ESTRELLA, LA FLORIDA",0,0,0,3,3
-70.5875845057298,-33.6017430247731,1387,"738 INDEPENDENCIA, PUENTE ALTO",0,0,0,1,1
-70.5839405002657,-33.4043252552399,1388,"PRESIDENTE KENNEDY & ALONSO DE CORDOVA, LAS CONDES",0,0,0,1,1
-70.5858686304865,-33.5132242130279,1389,"LOS PONSIANOS & LA FLORIDA, LA FLORIDA",0,0,0,1,1
-70.5852746615223,-33.4853743094008,1390,"RAMON CRUZ MONTT & LAS MADRESELVAS, MACUL",0,0,0,1,1
-70.587855636057,-33.6282799096623,1391,"1191 LAS ACHIRAS, PUENTE ALTO",0,0,0,1,1
-70.5831365648295,-33.379561859327,1392,"5950 SANTA MARIA, VITACURA",0,1,0,0,1
-70.5844769927922,-33.4663919178954,1393,"4587 GRECIA, NUNOA",0,0,0,1,1
-70.5856839792442,-33.5396771220226,1394,"ENRIQUE OLIVARES & PERU, LA FLORIDA",0,0,0,1,1
-70.5859830421444,-33.5572227586745,1395,"VICUNA MACKENNA & GENERAL ARRIAGADA, LA FLORIDA",0,0,0,1,1
-70.5859055736455,-33.5565203305796,1396,"SAN PEDRO & VICUNA MACKENNA ORIENTE, LA FLORIDA",0,1,0,3,1
-70.5844642296858,-33.4828324927414,1397,"3001 RAMON CRUZ MONTT, MACUL",0,0,0,1,1
