X,Y,FID,Intersecci,Comuna,Ciudad,Pais,Año,Clase,Cód_Comun,Región,Cód_Tipo,Tipo_Accid,Cód_Tip_1,Tipo__CONA,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Cód_Cal_1,Calle_Uno,Calle_Dos,Número,PiSANTAsde,PiSANTAs_1,Cód_Calza,Calzada,Tipo_Calza,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-70.6834664616051,-33.3798022733279,1811,INDEPENDENCIA @ ALBERTO COBO,CONCHALI, , ,2017,1,13104,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,26,OTROS NO CONSIDERADOS,131040343,131040041,INDEPENDENCIA,ALBERTO COBO, ,1, ,1,UNIDIRECCIONAL,ASFALTO,0,0,0,1,1
-70.6831742,-33.3920359,1812,4178 BARON DE JURAS REALES,CONCHALI, , ,2017,1,13104,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131040103,0,BARON DE JURAS REALES, ,4178,2,2,2,BIDIRECCIONAL,ASFALTO,0,0,0,1,1
-70.6830198,-33.4494514,1813,3469 EL BELLOTO,ESTACION CENTRAL, , ,2017,1,13106,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131060170,0,EL BELLOTO, ,3469,1,1,2,BIDIRECCIONAL,CONCRETO,0,0,1,0,1
-70.682907202598,-33.4971308964567,1814,PLANO REGULADOR @ MAIPU,PEDRO AGUIRRE CERDA, , ,2017,1,13121,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131210440,131210362,PLANO REGULADOR,MAIPU, ,1,1,2,BIDIRECCIONAL,ASFALTO,0,0,0,1,1
-70.68287016992,-33.4329185661488,1815,MAPOCHO @ AGUIRRE,QUINTA NORMAL, , ,2017,1,13126,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131260231,131010014,MAPOCHO,AGUIRRE, ,1,1,2,BIDIRECCIONAL,ASFALTO,0,0,1,0,1
-70.6827816,-33.4410758,1816,CATTAN / SAN PABLO,QUINTA NORMAL,SANTIAGO,CHILE,2017,1,13126,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131260354,131260075,SAN PABLO,CATTAN, ,2,2,2,BIDIRECCIONAL,ASFALTO,0,1,0,1,2
-70.6826564768723,-33.359362621023,1817,MEJILLONES @ LEQUENA,HUECHURABA, , ,2017,1,13107,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131070311,131070209,MEJILLONES,LEQUENA, ,1,1,2,BIDIRECCIONAL,ASFALTO,0,0,0,1,1
-70.6826552,-33.405348,1818,BRAVO DE SARAVIA @ SENADOR JAIME GUZMAN,RENCA, , ,2017,1,13128,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131280103,131280731,BRAVO DE SARAVIA,SENADOR JAIME GUZMAN, ,2, ,1,UNIDIRECCIONAL,CONCRETO,0,0,0,1,1
-70.6826322,-33.4518307,1819,3475 LIBERTADOR BERNARDO O`HIGGINS,ESTACION CENTRAL, , ,2017,1,13106,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,26,OTROS NO CONSIDERADOS,131060407,0,LIBERTADOR BERNARDO O`HIGGINS, ,3475,4,4,3,BIDIRECCIONAL CON BANDEJON,ASFALTO,0,0,0,1,1
-70.6826141,-33.4884232,1820,4041 MAIPU,PEDRO AGUIRRE CERDA, , ,2017,1,13121,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131210362,0,MAIPU, ,4041,2, ,1,UNIDIRECCIONAL,ASFALTO,0,0,0,1,1
-70.6825116,-33.4526215,1821,3470 LIBERTADOR BERNARDO O`HIGGINS,ESTACION CENTRAL, , ,2017,1,13106,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,26,OTROS NO CONSIDERADOS,131060407,0,LIBERTADOR BERNARDO O`HIGGINS, ,3470,4,4,3,BIDIRECCIONAL CON BANDEJON,ASFALTO,0,0,0,1,1
